un_no,psn,haz_class,sub_class,pg,nos,symbols
UN2782,"Bipyridilium pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,I,N,
UN2782,"Bipyridilium pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,II,N,
UN3016,"Bipyridilium pesticides, liquid, toxic",6.1,,I,N,
UN3016,"Bipyridilium pesticides, liquid, toxic",6.1,,II,N,
UN3016,"Bipyridilium pesticides, liquid, toxic",6.1,,III,N,
UN3015,"Bipyridilium pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,I,N,
UN3015,"Bipyridilium pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,II,N,
UN3015,"Bipyridilium pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,III,N,
UN2781,"Bipyridilium pesticides, solid, toxic",6.1,,I,N,
UN2781,"Bipyridilium pesticides, solid, toxic",6.1,,II,N,
UN2781,"Bipyridilium pesticides, solid, toxic",6.1,,III,N,
UN2837,"Bisulfate, aqueous solution",8,,II,N,
UN2837,"Bisulfate, aqueous solution",8,,III,N,
UN2693,"Bisulfites, aqueous solutions, n.o.s.",8,,III,Y,
UN0028,"Black powder, compressed or Gunpowder, compressed or Black powder, in pellets or Gunpowder, in pellets",1.1D,,,N,
UN0027,"Black powder or Gunpowder, granular or as a meal",1.1D,,,N,
NA0027,Black powder for small arms,4.1,,I,N,D
UN0037,"Bombs, photo-flash",1.1F,,,N,
UN0038,"Bombs, photo-flash",1.1D,,,N,
UN0039,"Bombs, photo-flash",1.2G,,,N,
UN0299,"Bombs, photo-flash",1.3G,,,N,
UN2028,"Bombs, smoke, non-explosive, with corrosive liquid, without initiating device",8,,II,N,
UN0033,"Bombs, with bursting charge",1.1F,,,N,
UN0034,"Bombs, with bursting charge",1.1D,,,N,
UN0035,"Bombs, with bursting charge",1.2D,,,N,
UN0291,"Bombs, with bursting charge",1.2F,,,N,
UN0399,"Bombs with flammable liquid, with bursting charge",1.1J,,,N,
UN0400,"Bombs with flammable liquid, with bursting charge",1.2J,,,N,
UN0225,Boosters with detonator,1.1B,,,N,
UN0268,Boosters with detonator,1.2B,,,N,
UN0042,"Boosters, without detonator",1.1D,,,N,
UN0283,"Boosters, without detonator",1.2D,,,N,
UN1312,Borneol,4.1,,III,N,
UN2692,Boron tribromide,8,6.1,I,N,+
UN1741,Boron trichloride,2.3,8,,N,
UN1008,Boron trifluoride,2.3,8,,N,
UN1742,"Boron trifluoride acetic acid complex, liquid",8,,II,N,
UN3419,"Boron trifluoride acetic acid complex, solid",8,,II,N,
UN3519,"Boron trifluoride, adsorbed",2.3,8,,N,
UN2604,Boron trifluoride diethyl etherate,8,3,I,N,
UN2851,Boron trifluoride dihydrate,8,,II,N,
UN2965,Boron trifluoride dimethyl etherate,4.3,"8,3",I,N,
UN1743,"Boron trifluoride propionic acid complex, liquid",8,,II,N,
UN3420,"Boron trifluoride propionic acid complex, solid",8,,II,N,
UN3213,"Bromates, inorganic, aqueous solution, n.o.s",5.1,,II,Y,G
UN3213,"Bromates, inorganic, aqueous solution, n.o.s",5.1,,III,Y,G
UN1450,"Bromates, inorganic, n.o.s",5.1,,II,Y,G
UN1744,Bromine,8,6.1,I,N,+
UN2901,Bromine chloride,2.3,"8,5.1",,N,
UN1745,Bromine pentafluoride,5.1,"6.1,8",I,N,+
UN1744,Bromine solutions,8,6.1,I,N,+
UN1744,Bromine solutions,8,6.1,I,N,+
UN1746,Bromine trifluoride,5.1,"6.1,8",I,N,+
UN2688,1-Bromo-3-chloropropane,6.1,,III,N,
UN2341,1-Bromo-3-methylbutane,3,,III,N,
UN3241,"2-Bromo-2-nitropropane-1,3-diol",4.1,,III,N,
UN3425,"Bromoacetic acid, solid",8,,II,N,
UN1938,Bromoacetic acid solution,8,,II,N,
UN1938,Bromoacetic acid solution,8,,III,N,
UN1569,Bromoacetone,6.1,3,II,N,+
UN2513,Bromoacetyl bromide,8,,II,N,
UN2514,Bromobenzene,3,,III,N,
UN1694,"Bromobenzyl cyanides, liquid",6.1,,I,N,
UN3449,"Bromobenzyl cyanides, solid",6.1,,I,N,
UN1126,1-Bromobutane,3,,II,N,
UN2339,2-Bromobutane,3,,II,N,
UN1887,Bromochloromethane,6.1,,III,N,
UN2340,2-Bromoethyl ethyl ether,3,,II,N,
UN2515,Bromoform,6.1,,III,N,
UN2342,Bromomethylpropanes,3,,II,N,
UN2343,2-Bromopentane,3,,II,N,
UN2344,Bromopropanes,3,,II,N,
UN2344,Bromopropanes,3,,III,N,
UN2345,3-Bromopropyne,3,,II,N,
UN2419,Bromotrifluoroethylene,2.1,,,N,
UN1009,"Bromotrifluoromethane or Refrigerant gas, R 13B1.",2.2,,,N,
UN1570,Brucine,6.1,,I,N,
UN0043,"Bursters, explosive",1.1D,,,N,
UN1010,"Butadienes, stabilized or Butadienes and Hydrocarbon mixture, stabilized containing more than 40% butadienes",2.1,,,N,
UN1011,"Butane see also Petroleum gases, liquefied",2.1,,,N,
UN2346,Butanedione,3,,II,N,
UN1120,Butanols,3,,II,N,
UN1120,Butanols,3,,III,N,
UN1123,Butyl acetates,3,,II,N,
UN1123,Butyl acetates,3,,III,N,
UN1718,Butyl acid phosphate,8,,III,N,
UN2348,"Butyl acrylates, stabilized",3,,III,N,
UN2709,Butyl benzenes,3,,III,N,
UN2743,n-Butyl chloroformate,6.1,"8,3",I,N,
UN1128,n-Butyl formate,3,,II,N,
UN3255,tert-Butyl hypochlorite,4.2,8,I,N,
UN2690,N-n-Butyl imidazole,6.1,,II,N,
UN2484,tert-Butyl isocyanate,6.1,3,I,N,
UN2485,n-Butyl isocyanate,6.1,3,I,N,
UN2347,Butyl mercaptan,3,,II,N,
UN2227,"n-Butyl methacrylate, stabilized",3,,III,N,
UN2350,Butyl methyl ether,3,,II,N,
UN2351,Butyl nitrites,3,,I,N,
UN2351,Butyl nitrites,3,,II,N,
UN2351,Butyl nitrites,3,,III,N,
UN1914,Butyl propionates,3,,III,N,
UN2956,"5-tert-Butyl-2,4,6-trinitro-m-xylene or Musk xylene",4.1,,III,N,
UN2352,"Butyl vinyl ether, stabilized",3,,II,N,
UN1125,n-Butylamine,3,8,II,N,
UN2738,N-Butylaniline,6.1,,II,N,
UN2747,tert-Butylcyclohexylchloroformate,6.1,,III,N,
UN1012,"Butylene see also Petroleum gases, liquefied",2.1,,,N,
UN3022,"1,2-Butylene oxide, stabilized",3,,II,N,
UN2667,Butyltoluenes,6.1,,III,N,
UN1747,Butyltrichlorosilane,8,3,II,N,
UN2716,"1,4-Butynediol",6.1,,III,N,
UN1129,Butyraldehyde,3,,II,N,
UN2840,Butyraldoxime,3,,III,N,
UN2820,Butyric acid,8,,III,N,
UN2739,Butyric anhydride,8,,III,N,
UN2411,Butyronitrile,3,6.1,II,N,
UN2353,Butyryl chloride,3,8,II,N,
UN1572,Cacodylic acid,6.1,,II,N,
UN2570,Cadmium compounds,6.1,,I,N,G
UN2570,Cadmium compounds,6.1,,II,N,G
UN2570,Cadmium compounds,6.1,,III,N,G
UN2682,Caesium hydroxide,8,,II,N,
UN2681,Caesium hydroxide solution,8,,II,N,
UN2681,Caesium hydroxide solution,8,,III,N,
UN1401,Calcium,4.3,,II,N,
UN1573,Calcium arsenate,6.1,,II,N,
UN1574,"Calcium arsenate and calcium arsenite, mixtures, solid",6.1,,II,N,
UN1402,Calcium carbide,4.3,,I,N,
UN1402,Calcium carbide,4.3,,II,N,
UN1452,Calcium chlorate,5.1,,II,N,
UN2429,Calcium chlorate aqueous solution,5.1,,II,N,
UN2429,Calcium chlorate aqueous solution,5.1,,III,N,
UN1453,Calcium chlorite,5.1,,II,N,
UN1403,Calcium cyanamide with more than 0.1 percent of calcium carbide,4.3,,III,N,
UN1575,Calcium cyanide,6.1,,I,N,
UN1923,Calcium dithionite or Calcium hydrosulfite,4.2,,II,N,
UN1404,Calcium hydride,4.3,,I,N,
UN3485,"Calcium hypochlorite, dry, corrosive or Calcium hypochlorite mixture, dry, corrosive with more than 39% available chlorine (8.8% available oxygen)",5.1,8,II,N,
UN1748,"Calcium hypochlorite, dry or Calcium hypochlorite mixture dry with more than 39% available chlorine (8.8% available oxygen)",5.1,,II,N,
UN1748,"Calcium hypochlorite, dry or Calcium hypochlorite mixture dry with more than 39% available chlorine (8.8% available oxygen)",5.1,,III,N,
UN3487,"Calcium hypochlorite, hydrated, corrosive or Calcium hypochlorite, hydrated mixture, corrosive with not less than 5.5% but not more than 16% water",5.1,8,II,N,
UN3487,"Calcium hypochlorite, hydrated, corrosive or Calcium hypochlorite, hydrated mixture, corrosive with not less than 5.5% but not more than 16% water",5.1,8,III,N,
UN2880,"Calcium hypochlorite, hydrated or Calcium hypochlorite, hydrated mixture, with not less than 5.5% but not more than 16% water",5.1,,II,N,
UN2880,"Calcium hypochlorite, hydrated or Calcium hypochlorite, hydrated mixture, with not less than 5.5% but not more than 16% water",5.1,,III,N,
UN3486,"Calcium hypochlorite mixture, dry, corrosive with more than 10% but not more than 39% available chlorine",5.1,8,III,N,
UN2208,"Calcium hypochlorite mixture, dry, with more than 10% but not more than 39% available chlorine",5.1,,III,N,
UN2844,Calcium manganese silicon,4.3,,III,N,
UN1454,Calcium nitrate,5.1,,III,N,
UN1910,Calcium oxide,8,,III,N,A
UN1455,Calcium perchlorate,5.1,,II,N,
UN1456,Calcium permanganate,5.1,,II,N,
UN1457,Calcium peroxide,5.1,,II,N,
UN1360,Calcium phosphide,4.3,6.1,I,N,
UN1855,"Calcium, pyrophoric or Calcium alloys, pyrophoric",4.2,,I,N,
UN1313,Calcium resinate,4.1,,III,N,
UN1314,"Calcium resinate, fused",4.1,,III,N,
UN1405,Calcium silicide,4.3,,II,N,
UN1405,Calcium silicide,4.3,,III,N,
UN1130,Camphor oil,3,,III,N,
UN2717,"Camphor, synthetic",4.1,,III,N,
UN3508,"Capacitor, asymmetric with an energy storage capacity greater than 0.3 Wh",9,,,N,
UN3499,"Capacitor, electric double layer with an energy storage capacity greater than 0.3 Wh",9,,,N,
UN2829,Caproic acid,8,,III,N,
UN2758,"Carbamate pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,I,N,
UN2758,"Carbamate pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,II,N,
UN2992,"Carbamate pesticides, liquid, toxic",6.1,,I,N,
UN2992,"Carbamate pesticides, liquid, toxic",6.1,,II,N,
UN2992,"Carbamate pesticides, liquid, toxic",6.1,,III,N,
UN2991,"Carbamate pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,I,N,
UN2991,"Carbamate pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,II,N,
UN2991,"Carbamate pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,III,N,
UN2757,"Carbamate pesticides, solid, toxic",6.1,,I,N,
UN2757,"Carbamate pesticides, solid, toxic",6.1,,II,N,
UN2757,"Carbamate pesticides, solid, toxic",6.1,,III,N,
UN1362,"Carbon, activated",4.2,,III,N,I
UN1361,"Carbon, animal or vegetable origin",4.2,,II,N,I
UN1361,"Carbon, animal or vegetable origin",4.2,,III,N,I
UN1013,Carbon dioxide,2.2,,,N,
UN2187,"Carbon dioxide, refrigerated liquid",2.2,,,N,
UN1845,"Carbon dioxide, solid or Dry ice",9,,,N,A W
UN1131,Carbon disulfide,3,6.1,I,N,
UN1016,"Carbon monoxide, compressed",2.3,2.1,,N,
NA9202,"Carbon monoxide, refrigerated liquid (cryogenic liquid)",2.3,2.1,,N,D
UN2516,Carbon tetrabromide,6.1,,III,N,
UN1846,Carbon tetrachloride,6.1,,II,N,
UN2417,Carbonyl fluoride,2.3,8,,N,
UN2204,Carbonyl sulfide,2.3,2.1,,N,
UN0049,"Cartridges, flash",1.1G,,,N,
UN0050,"Cartridges, flash",1.3G,,,N,
UN0326,"Cartridges for weapons, blank",1.1C,,,N,
UN0413,"Cartridges for weapons, blank",1.2C,,,N,
UN0327,"Cartridges for weapons, blank or Cartridges, small arms, blank",1.3C,,,N,
UN0338,"Cartridges for weapons, blank or Cartridges, small arms, blank",1.4C,,,N,
UN0014,"Cartridges for weapons, blank or Cartridges, small arms, blank or Cartridges for tools, blank",1.4S,,,N,
UN0328,"Cartridges for weapons, inert projectile",1.2C,,,N,
UN0012,"Cartridges for weapons, inert projectile or Cartridges, small arms",1.4S,,,N,
UN0339,"Cartridges for weapons, inert projectile or Cartridges, small arms",1.4C,,,N,
UN0417,"Cartridges for weapons, inert projectile or Cartridges, small arms",1.3C,,,N,
UN0005,"Cartridges for weapons, with bursting charge",1.1F,,,N,
UN0006,"Cartridges for weapons, with bursting charge",1.1E,,,N,
UN0007,"Cartridges for weapons, with bursting charge",1.2F,,,N,
UN0321,"Cartridges for weapons, with bursting charge",1.2E,,,N,
UN0348,"Cartridges for weapons, with bursting charge",1.4F,,,N,
UN0412,"Cartridges for weapons, with bursting charge",1.4E,,,N,
UN0277,"Cartridges, oil well",1.3C,,,N,
UN0278,"Cartridges, oil well",1.4C,,,N,
UN0275,"Cartridges, power device",1.3C,,,N,
UN0276,"Cartridges, power device",1.4C,,,N,
UN0323,"Cartridges, power device",1.4S,,,N,
UN0381,"Cartridges, power device",1.2C,,,N,
UN0054,"Cartridges, signal",1.3G,,,N,
UN0312,"Cartridges, signal",1.4G,,,N,
UN0405,"Cartridges, signal",1.4S,,,N,
UN0055,"Cases, cartridge, empty with primer",1.4S,,,N,
UN0379,"Cases, cartridges, empty with primer",1.4C,,,N,
UN0446,"Cases, combustible, empty, without primer",1.4C,,,N,
UN0447,"Cases, combustible, empty, without primer",1.3C,,,N,
UN2969,Castor beans or Castor meal or Castor pomace or Castor flake,9,,II,N,A W
UN1719,"Caustic alkali liquids, n.o.s.",8,,II,Y,G
UN1719,"Caustic alkali liquids, n.o.s.",8,,III,Y,G
UN3292,"Cells, containing sodium",4.3,,,N,
UN2000,"Celluloid, in block, rods, rolls, sheets, tubes, etc., except scrap",4.1,,III,N,
UN2002,"Celluloid, scrap",4.2,,III,N,
UN1333,"Cerium, slabs, ingots, or rods",4.1,,II,N,
UN3078,"Cerium, turnings or gritty powder",4.3,,II,N,
UN1407,Cesium or Caesium,4.3,,I,N,
UN1451,Cesium nitrate or Caesium nitrate,5.1,,III,N,
NA1361,"Charcoal briquettes, shell, screenings, wood, etc.",4.2,,III,N,D
UN0457,"Charges, bursting, plastics bonded",1.1D,,,N,
UN0458,"Charges, bursting, plastics bonded",1.2D,,,N,
UN0459,"Charges, bursting, plastics bonded",1.4D,,,N,
UN0460,"Charges, bursting, plastics bonded",1.4S,,,N,
UN0048,"Charges, demolition",1.1D,,,N,
UN0056,"Charges, depth",1.1D,,,N,
UN0442,"Charges, explosive, commercial without detonator",1.1D,,,N,
UN0443,"Charges, explosive, commercial without detonator",1.2D,,,N,
UN0444,"Charges, explosive, commercial without detonator",1.4D,,,N,
UN0445,"Charges, explosive, commercial without detonator",1.4S,,,N,
UN0271,"Charges, propelling",1.1C,,,N,
UN0272,"Charges, propelling",1.3C,,,N,
UN0415,"Charges, propelling",1.2C,,,N,
UN0491,"Charges, propelling",1.4C,,,N,
UN0242,"Charges, propelling, for cannon",1.3C,,,N,
UN0279,"Charges, propelling, for cannon",1.1C,,,N,
UN0414,"Charges, propelling, for cannon",1.2C,,,N,
UN0237,"Charges, shaped, flexible, linear",1.4D,,,N,
UN0288,"Charges, shaped, flexible, linear",1.1D,,,N,
UN0059,"Charges, shaped, without detonator",1.1D,,,N,
UN0439,"Charges, shaped, without detonator",1.2D,,,N,
UN0440,"Charges, shaped, without detonator",1.4D,,,N,
UN0441,"Charges, shaped, without detonator",1.4S,,,N,
UN0060,"Charges, supplementary explosive",1.1D,,,N,
NA1760,Chemical kit,8,,II,N,D
UN3316,Chemical kit,9,,,N,
UN3503,"Chemical under pressure, corrosive, n.o.s",2.2,8,,Y,G
UN3505,"Chemical under pressure, flammable, corrosive, n.o.s",2.1,8,,Y,G
UN3501,"Chemical under pressure, flammable, n.o.s",2.1,,,Y,G
UN3504,"Chemical under pressure, flammable, toxic, n.o.s",2.1,6.1,,Y,G
UN3500,"Chemical under pressure, n.o.s",2.2,,,Y,G
UN3502,"Chemical under pressure, toxic, n.o.s",2.2,6.1,,Y,G
UN2075,"Chloral, anhydrous, stabilized",6.1,,II,N,
UN1458,Chlorate and borate mixtures,5.1,,II,N,
UN1458,Chlorate and borate mixtures,5.1,,III,N,
UN1459,Chlorate and magnesium chloride mixture solid,5.1,,II,N,
UN1459,Chlorate and magnesium chloride mixture solid,5.1,,III,N,
UN3407,Chlorate and magnesium chloride mixture solution,5.1,,II,N,
UN3407,Chlorate and magnesium chloride mixture solution,5.1,,III,N,
UN3210,"Chlorates, inorganic, aqueous solution, n.o.s",5.1,,II,Y,G
UN3210,"Chlorates, inorganic, aqueous solution, n.o.s",5.1,,III,Y,G
UN1461,"Chlorates, inorganic, n.o.s",5.1,,II,Y,G
UN2626,"Chloric acid aqueous solution, with not more than 10 percent chloric acid",5.1,,II,N,
UN1017,Chlorine,2.3,"5.1,8",,N,
UN3520,"Chlorine, adsorbed",2.3,"5.1,8",,N,
NA9191,"Chlorine dioxide, hydrate, frozen",5.1,6.1,II,N,D
UN2548,Chlorine pentafluoride,2.3,"5.1,8",,N,
UN1749,Chlorine trifluoride,2.3,"5.1,8",,N,
UN1908,Chlorite solution,8,,II,N,
UN1908,Chlorite solution,8,,III,N,
UN1462,"Chlorites, inorganic, n.o.s",5.1,,II,Y,G
UN2517,"1-Chloro-1,1-difluoroethane or Refrigerant gas R 142b",2.1,,,N,
UN2236,"3-Chloro-4-methylphenyl isocyanate, liquid",6.1,,II,N,
UN3428,"3-Chloro-4-methylphenyl isocyanate, solid",6.1,,II,N,
UN1021,"1-Chloro-1,2,2,2-tetrafluoroethaneor Refrigerant gas R 124",2.2,,,N,
UN1579,"4-Chloro-o-toluidine hydrochloride, solid",6.1,,III,N,
UN3410,"4-Chloro-o-toluidine hydrochloride, solution",6.1,,III,N,
UN1983,"1-Chloro-2,2,2-trifluoroethane or Refrigerant gas R 133a",2.2,,,N,
UN3250,"Chloroacetic acid, molten",6.1,8,II,N,
UN1751,"Chloroacetic acid, solid",6.1,8,II,N,
UN1750,"Chloroacetic acid, solution",6.1,8,II,N,
UN1695,"Chloroacetone, stabilized",6.1,"3,8",I,N,
UN2668,Chloroacetonitrile,6.1,3,I,N,+
UN3416,"Chloroacetophenone, liquid, (CN)",6.1,,II,N,
UN1697,"Chloroacetophenone, solid, (CN)",6.1,,II,N,
UN1752,Chloroacetyl chloride,6.1,8,I,N,
UN2019,"Chloroanilines, liquid",6.1,,II,N,
UN2018,"Chloroanilines, solid",6.1,,II,N,
UN2233,Chloroanisidines,6.1,,III,N,
UN1134,Chlorobenzene,3,,III,N,
UN2234,Chlorobenzotrifluorides,3,,III,N,
UN2235,"Chlorobenzyl chlorides, liquid",6.1,,III,N,
UN3427,"Chlorobenzyl chlorides, solid",6.1,,III,N,
UN1127,Chlorobutanes,3,,II,N,
UN2669,Chlorocresols solution,6.1,,II,N,
UN2669,Chlorocresols solution,6.1,,III,N,
UN3437,"Chlorocresols, solid",6.1,,II,N,
UN1974,Chlorodifluorobromomethane or Refrigerant gas R 12B1,2.2,,,N,
UN1973,"Chlorodifluoromethane and chloropentafluoroethane mixture or Refrigerant gas R 502 with fixed boiling point, with approximately 49 percent chlorodifluoromethane",2.2,,,N,
UN1018,Chlorodifluoromethane or Refrigerant gas R 22,2.2,,,N,
UN1577,"Chlorodinitrobenzenes, liquid.",6.1,,II,N,+
UN3441,"Chlorodinitrobenzenes, solid",6.1,,II,N,+
UN2232,2-Chloroethanal,6.1,,I,N,
UN1888,Chloroform,6.1,,III,N,
UN2742,"Chloroformates, toxic, corrosive, flammable, n.o.s",6.1,"8,3",II,Y,G
UN3277,"Chloroformates, toxic, corrosive, n.o.s",6.1,8,II,Y,G
UN2745,Chloromethyl chloroformate,6.1,8,II,N,
UN2354,Chloromethyl ethyl ether,3,6.1,II,N,
UN2237,Chloronitroanilines,6.1,,III,N,
UN3409,"Chloronitrobenzenes, liquid",6.1,,II,N,+
UN1578,"Chloronitrobenzenes, solid",6.1,,II,N,+
UN2433,"Chloronitrotoluenes, liquid",6.1,,III,N,
UN3457,"Chloronitrotoluenes, solid",6.1,,III,N,
UN1020,Chloropentafluoroethane or Refrigerant gas R 115,2.2,,,N,
UN2904,"Chlorophenolates, liquid or Phenolates, liquid",8,,III,N,
UN2905,"Chlorophenolates, solid or Phenolates, solid",8,,III,N,
UN2021,"Chlorophenols, liquid",6.1,,III,N,
UN2020,"Chlorophenols, solid",6.1,,III,N,
UN1753,Chlorophenyltrichlorosilane,8,,II,N,
UN1580,Chloropicrin,6.1,,I,N,+
UN1581,Chloropicrin and methyl bromide mixtures,2.3,,,N,
UN1582,Chloropicrin and methyl chloride mixtures,2.3,,,N,
UN1583,"Chloropicrin mixtures, n.o.s",6.1,,I,Y,G
UN1583,"Chloropicrin mixtures, n.o.s",6.1,,II,Y,G
UN1583,"Chloropicrin mixtures, n.o.s",6.1,,III,Y,G
NA9263,Chloropivaloyl chloride,6.1,8,I,N,D
UN2507,"Chloroplatinic acid, solid",8,,III,N,
UN1991,"Chloroprene, stabilized",3,6.1,I,N,
UN1278,1-Chloropropane,3,,II,N,
UN2356,2-Chloropropane,3,,I,N,
UN2849,3-Chloropropanol-1,6.1,,III,N,
UN2456,2-Chloropropene,3,,I,N,
UN2511,2-Chloropropionic acid,8,,III,N,
UN2822,2-Chloropyridine,6.1,,II,N,
UN2986,"Chlorosilanes, corrosive, flammable, n.o.s",8,3,II,Y,
UN2987,"Chlorosilanes, corrosive, n.o.s",8,,II,Y,
UN2985,"Chlorosilanes, flammable, corrosive, n.o.s",3,8,II,Y,
UN3362,"Chlorosilanes, toxic, corrosive, flammable, n.o.s",6.1,"8,3",II,Y,G
UN3361,"Chlorosilanes, toxic, corrosive, n.o.s",6.1,8,II,Y,G
UN2988,"Chlorosilanes, water-reactive, flammable, corrosive, n.o.s",4.3,"3,8",I,Y,
UN1754,Chlorosulfonic acid (with or without sulfur trioxide),8,6.1,I,N,+
UN2238,Chlorotoluenes,3,,III,N,
UN3429,"Chlorotoluidines, liquid",6.1,,III,N,
UN2239,"Chlorotoluidines, solid",6.1,,III,N,
UN2599,Chlorotrifluoromethane and trifluoromethane azeotropic mixture or Refrigerant gas R 503 with approximately 60 percent chlorotrifluoromethane,2.2,,,N,
UN1022,Chlorotrifluoromethane or Refrigerant gas R 13,2.2,,,N,
UN1755,Chromic acid solution,8,,II,N,
UN1755,Chromic acid solution,8,,III,N,
UN1756,"Chromic fluoride, solid",8,,II,N,
UN1757,"Chromic fluoride, solution",8,,II,N,
UN1757,"Chromic fluoride, solution",8,,III,N,
UN1757,"Chromic fluoride, solution",8,,III,N,
UN2720,Chromium nitrate,5.1,,III,N,
UN1758,Chromium oxychloride,8,,I,N,
UN1463,"Chromium trioxide, anhydrous",5.1,"6.1,8",II,N,
UN2240,Chromosulfuric acid,8,,I,N,
UN1023,"Coal gas, compressed",2.3,2.1,,N,
UN1136,"Coal tar distillates, flammable",3,,II,N,
UN1136,"Coal tar distillates, flammable",3,,III,N,
UN1139,"Coating solution (includes surface treatments or coatings used for industrial or other purposes such as vehicle undercoating, drum or barrel lining)",3,,I,N,
UN1139,"Coating solution (includes surface treatments or coatings used for industrial or other purposes such as vehicle undercoating, drum or barrel lining)",3,,II,N,
UN1139,"Coating solution (includes surface treatments or coatings used for industrial or other purposes such as vehicle undercoating, drum or barrel lining)",3,,III,N,
UN3550,"Cobalt dihydroxide powder, containing not less than 10% respirable particles",6.1,,I,N,
UN2001,"Cobalt naphthenates, powder",4.1,,III,N,
UN1318,"Cobalt resinate, precipitated",4.1,,III,N,
NA1993,"Combustible liquid, n.o.s.",Comb liq,,III,Y,D G
UN0382,"Components, explosive train, n.o.s.",1.2B,,,Y,G
UN0383,"Components, explosive train, n.o.s.",1.4B,,,Y,G
UN0384,"Components, explosive train, n.o.s",1.4S,,,Y,G
